mode,alpha,beta,conf_threshold,minor_gate,major_gate,macro_f1,f1_minor,f1_major,f1_dest,triage
B,0.2,0.5,,,,0.4702026331698178,0.07692307692307691,0.0,0.8607594936708861,0.07692307692307691
B,0.2,1.0,,,,0.47041570001660005,0.07692307692307691,0.0,0.8611111111111112,0.07692307692307691
B,0.2,2.0,,,,0.4701442274090619,0.07692307692307691,0.0,0.8600252206809585,0.07692307692307691
B,0.2,5.0,,,,0.4701442274090619,0.07692307692307691,0.0,0.8600252206809585,0.07692307692307691
B,0.5,0,,,,0.5083903979531652,0.09523809523809525,0.14285714285714288,0.8549618320610688,0.23809523809523814
B,0.5,0.1,,,,0.5165458115452585,0.09523809523809525,0.1739130434782609,0.8549618320610688,0.26915113871635615
B,0.5,0.2,,,,0.49988621576262854,0.09523809523809525,0.10526315789473684,0.8564167725540026,0.20050125313283207
B,0.5,0.5,,,,0.47500779377849894,0.09523809523809525,0.0,0.8611111111111112,0.09523809523809525
B,0.5,1.0,,,,0.4752201746463345,0.09523809523809525,0.0,0.8614609571788413,0.09523809523809525
B,0.5,2.0,,,,0.47494927497426564,0.09523809523809525,0.0,0.8603773584905661,0.09523809523809525
B,0.5,5.0,,,,0.47494927497426564,0.09523809523809525,0.0,0.8603773584905661,0.09523809523809525
B,1.0,0,,,,0.4841974269593273,0.0,0.14285714285714288,0.8538754764930114,0.14285714285714288
B,1.0,0.1,,,,0.49235292021588406,0.0,0.1739130434782609,0.8538754764930114,0.1739130434782609
B,1.0,0.2,,,,0.47569330048001135,0.0,0.10526315789473684,0.8553299492385786,0.10526315789473684
B,1.0,0.5,,,,0.45081519826390093,0.0,0.0,0.8600252206809585,0.0
B,1.0,1.0,,,,0.45102814576921363,0.0,0.0,0.8603773584905661,0.0
B,1.0,2.0,,,,0.45075792674958715,0.0,0.0,0.8592964824120602,0.0
B,1.0,5.0,,,,0.45075792674958715,0.0,0.0,0.8592964824120602,0.0
B,2.0,0,,,,0.4841974269593273,0.0,0.14285714285714288,0.8538754764930114,0.14285714285714288
B,2.0,0.1,,,,0.49235292021588406,0.0,0.1739130434782609,0.8538754764930114,0.1739130434782609
B,2.0,0.2,,,,0.47569330048001135,0.0,0.10526315789473684,0.8553299492385786,0.10526315789473684
B,2.0,0.5,,,,0.45081519826390093,0.0,0.0,0.8600252206809585,0.0
B,2.0,1.0,,,,0.45102814576921363,0.0,0.0,0.8603773584905661,0.0
B,2.0,2.0,,,,0.45075792674958715,0.0,0.0,0.8592964824120602,0.0
B,2.0,5.0,,,,0.45075792674958715,0.0,0.0,0.8592964824120602,0.0
B,5.0,0,,,,0.4843234306340198,0.0,0.14285714285714288,0.8538754764930114,0.14285714285714288
B,5.0,0.1,,,,0.49247843929073076,0.0,0.1739130434782609,0.8538754764930114,0.1739130434782609
B,5.0,0.2,,,,0.4758185752200887,0.0,0.10526315789473684,0.8553299492385786,0.10526315789473684
B,5.0,0.5,,,,0.4509401113168118,0.0,0.0,0.8600252206809585,0.0
B,5.0,1.0,,,,0.4511529407568571,0.0,0.0,0.8603773584905661,0.0
B,5.0,2.0,,,,0.4508827217372306,0.0,0.0,0.8592964824120602,0.0
B,5.0,5.0,,,,0.4508827217372306,0.0,0.0,0.8592964824120602,0.0
